,vendor_id,tag
349,69,Fresh Juices
350,69,Hot Chocolate
351,69,Sandwiches
352,69,Smoothies
353,70,Coffee
354,70,Fresh Juices
355,70,Hot Chocolate
356,70,Sandwiches
357,70,Smoothies
358,71,American
359,71,Breakfast
360,71,Burgers
361,71,Fries
362,71,Sandwiches
363,72,Bagels
364,72,Desserts
365,72,Salads
366,73,American
367,73,Kids meal
368,73,Pasta
369,73,Pizzas
370,73,Salads
371,74,Churros
372,75,American
373,75,Breakfast
374,75,Burgers
375,75,Desserts
376,75,Italian
377,75,Salads
378,75,Sandwiches
379,75,Soups
380,75,Steaks
381,76,Omani
382,76,Arabic
383,76,Shuwa
384,76,Pasta
385,76,Rice
386,76,Soups
387,76,Lebanese
388,77,Frozen yoghurt
389,77,Smoothies
390,78,Arabic
391,78,Kushari
392,78,Sandwiches
393,79,Burgers
394,79,Free Delivery
395,79,Milkshakes
396,79,Mojitos 
397,80,American
398,80,Burgers
399,80,Desserts
400,80,Free Delivery
401,80,Fries
402,80,Hot Dogs
403,80,Kids meal
404,81,Fresh Juices
405,81,Lebanese
406,81,Sandwiches
407,81,Shawarma
408,82,Burgers
409,82,Desserts
410,82,Free Delivery
411,82,Pasta
412,82,Sandwiches
413,83,Coffee
414,83,Pancakes
415,83,Spanish Latte
416,83,Waffles
417,84,Burgers
418,84,Desserts
419,84,Family Meal
420,84,Salads
421,85,Fresh Juices
422,85,Sandwiches
423,85,Shawarma
424,86,Fresh Juices
425,86,Sandwiches
426,86,Shawarma
427,87,Fresh Juices
428,87,Sandwiches
429,87,Shawarma
430,88,Biryani
431,88,Desserts
432,88,Indian
433,88,Kebabs
434,88,Rice
435,89,Biryani
436,89,Desserts
437,89,Indian
438,89,Kebabs
439,89,Rice
440,90,Biryani
441,90,Desserts
442,90,Indian
443,90,Kebabs
444,90,Rice
445,91,American
446,91,Breakfast
447,91,Burgers
448,91,Cafe
449,91,Desserts
450,91,Free Delivery
451,91,Fries
452,91,Ice creams
453,91,Kids meal
454,91,Salads
455,92,American
456,92,Breakfast
457,92,Burgers
458,92,Cafe
459,92,Desserts
460,92,Free Delivery
461,92,Fries
462,92,Ice creams
463,92,Kids meal
464,92,Salads
465,93,American
466,93,Breakfast
467,93,Burgers
468,93,Cafe
469,93,Desserts
470,93,Free Delivery
471,93,Fries
472,93,Ice creams
473,93,Kids meal
474,93,Salads
475,94,American
476,94,Breakfast
477,94,Burgers
478,94,Cafe
479,94,Desserts
480,94,Free Delivery
481,94,Fries
482,94,Ice creams
483,94,Kids meal
484,94,Salads
485,95,American
486,95,Breakfast
487,95,Burgers
488,95,Cafe
489,95,Desserts
490,95,Free Delivery
491,95,Fries
492,95,Ice creams
493,95,Kids meal
494,95,Salads
495,96,American
496,96,Burgers
497,96,Desserts
498,96,Free Delivery
499,96,Fries
500,96,Kids meal
501,96,Salads
502,97,American
503,97,Breakfast
504,97,Burgers
505,97,Cafe
506,97,Desserts
507,97,Free Delivery
508,97,Fries
509,97,Ice creams
510,97,Kids meal
511,97,Salads
512,98,American
513,98,Breakfast
514,98,Burgers
515,98,Cafe
516,98,Desserts
517,98,Free Delivery
518,98,Fries
519,98,Ice creams
520,98,Kids meal
521,98,Salads
522,99,Fatayers
523,99,Mojitos 
524,99,Sandwiches
